t,x,y,z,roll,pitch,yaw
1.130151987075805664e+00,-8.861707516873006823e-05,-4.484976291963515540e-04,-3.182884519385395560e-04,4.402154687454912924e-02,3.535238547690738170e-02,5.710432167229219716e-04
1.180488109588623047e+00,-1.690966310285688709e-04,-6.731058223183506882e-04,-5.737822079422043656e-04,4.401242915459538385e-02,3.532034724776929313e-02,5.985496705526157984e-04
1.180576324462890625e+00,-1.692214593410307861e-04,-6.736157178880727934e-04,-5.742655360145279206e-04,4.401261872693101873e-02,3.532022046497510642e-02,5.982655477736961453e-04
1.180615186691284180e+00,-1.692765700099491501e-04,-6.738402105418464213e-04,-5.744785785311975687e-04,4.401266202858400423e-02,3.532020825738586139e-02,5.982069462783909299e-04
1.180650234222412109e+00,-1.693262734825949937e-04,-6.740425259269339697e-04,-5.746707634034589358e-04,4.401260599799515505e-02,3.532016537475440865e-02,5.982707519327504697e-04
1.180684089660644531e+00,-1.693743027854435225e-04,-6.742378136465112257e-04,-5.748564430029478017e-04,4.401262153317996029e-02,3.532022299221634909e-02,5.983199763303483163e-04
1.240346670150756836e+00,-2.995931977341994732e-04,-9.298237974753794386e-04,-7.837419131779108008e-04,4.404651873713230636e-02,3.521578765159198710e-02,6.305747525158163268e-04
1.240453243255615234e+00,-2.999069048115134855e-04,-9.301228330939096366e-04,-7.839032159483803452e-04,4.404571961495633986e-02,3.521566580109317807e-02,6.306286968611206139e-04
1.240495920181274414e+00,-3.000323773808573477e-04,-9.302428477557609515e-04,-7.839676850422172853e-04,4.404541677588078019e-02,3.521582565583421254e-02,6.305833851799086832e-04
1.240532875061035156e+00,-3.001409899112827831e-04,-9.303469241298903143e-04,-7.840235703992211400e-04,4.404527311602186163e-02,3.521585145970106134e-02,6.304366771595559197e-04
1.240568876266479492e+00,-3.002467739977246345e-04,-9.304484761216985514e-04,-7.840780437923408576e-04,4.404521106525663421e-02,3.521590143765120084e-02,6.304295820247770655e-04
1.240603446960449219e+00,-3.003483464246527765e-04,-9.305460699962713432e-04,-7.841304127074677716e-04,4.404535714724552853e-02,3.521590992337193804e-02,6.304241223320511530e-04
1.300048828125000000e+00,-5.249247771731035050e-04,-1.023641142226796143e-03,-7.716650429259381324e-04,4.448125836594966909e-02,3.519175124315362946e-02,7.373224366644099250e-04
